Inventory ID (OPTIONAL),Artist Name ,Title ,Year ,Price ,Medium ,Materials ,Height ,Width ,Depth,Certificate of Authenticity ,Signature ,Classification 
KG-1000,Unknown Artist,A Guru and Student in the Wilderness,1850,,Opaque Watercolor on Paper,Opaque Watercolor on Paper,8.125,11.125,,,,"Drawing, Collage or other Work on Paper"
KG-1001,Unknown Artist,Composite Horse and Rider,,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,8.5,6.0,,,,"Drawing, Collage or other Work on Paper"
KG-1002,Unknown Artist,Folio from an Usha-Aniruddha Series: Chitralekha Visits Aniruddha in Dwarka,1840,,Gouache and gold on paper,Gouache and gold on paper,9.0,12.0,,,,"Drawing, Collage or other Work on Paper"
KG-1003,Unknown Artist,Ganesha Enthroned,,18000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,10.75,11.0,,,,"Drawing, Collage or other Work on Paper"
KG-1004,Unknown Artist,Shiva and Parvati,,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,8.0,10.0,,,,"Drawing, Collage or other Work on Paper"
KG-1006,Unknown Artist,A Buff Sandstone Torso of Vishnu,,,Sandstone,Sandstone,40.0,26.0,12.0,,,Sculpture
KG-1007,Unknown Artist,A Stucco Hand of Buddha,,85000.0,Stucco,Stucco,20.0,9.0,8.0,,,Sculpture
KG-1008,Unknown Artist,Head of a Bodhisattva - Gray Schist,,9000.0,Gray Schist,Gray Schist,10.0,,,,,Sculpture
KG-1009,Unknown Artist,Frieze with three Boddhisattvas,,,Blue Grey Schist,Blue Grey Schist,12.0,18.0,4.0,,,Sculpture
KG-1010,Unknown Artist,A gray schist relief of Panchika and Hariti,,,Schist,Schist,19.0,18.0,7.0,,,Sculpture
KG-1011,Unknown Artist,A Great Indian Fruit Bat (Flying Fox),,350000.0,Watercolor on Whatman paper,Watercolor on Whatman paper,8.0,13.0,,,,"Drawing, Collage or other Work on Paper"
KG-1012,Unknown Artist,Jeweled Khanjar (dagger),,,Jade-hilted and jeweled,Jade-hilted and jeweled Khanjar,15.0,,,,,Design/Decorative Art
KG-1013,Unknown Artist,Shishupal and his Retinue: Bhagavata Purana,1775,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,11.0,8.0,,,,"Drawing, Collage or other Work on Paper"
KG-1014,Unknown Artist,Mahakala Shadbhuja,,35000.0,Bronze with polychrome,Bronze with polychrome,6.0,,,,,Sculpture
KG-1015,Unknown Artist,Krishna with sage Narada,,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,6.0,9.0,,,,"Drawing, Collage or other Work on Paper"
KG-1016,Unknown Artist,A Gray Schist Figure of a Seated Bodhisattva,101,,Schist,Schist,,,,,,Sculpture
