work_id,field,distinct_values,values_seen,source_types
KG-1312,height_in,2,13.0 || 9.0,"artsy_csv,bulk_upload_xlsx"
KG-1312,medium,2,Ground mineral pigments on paper || Opaque watercolor heightened with gold on paper,"artsy_csv,bulk_upload_xlsx"
KG-1312,price_usd,2,26000.0 || 50000.0,"artsy_csv,bulk_upload_xlsx"
KG-1312,title,2,Battle between Banasura and Krishna || Vasishtha Teaches Rama and Lakshmana,"artsy_csv,bulk_upload_xlsx"
KG-1312,width_in,2,14.0 || 20.0,"artsy_csv,bulk_upload_xlsx"
KG-1312,year,2,1700 || 1775,"artsy_csv,bulk_upload_xlsx"
KG-1813,price_usd,2,24000.0 || 38000.0,"bulk_upload_xlsx,price_list_pdf"
KG-1814,price_usd,2,24000.0 || 28000.0,"bulk_upload_xlsx,price_list_pdf"
KG-2106,height_in,2,27.0 || 27.125,"bulk_upload_xlsx,price_list_pdf"
KG-2106,price_usd,2,30000.0 || 80000.0,"bulk_upload_xlsx,price_list_pdf"
KG-2106,width_in,2,39.0 || 39.5,"bulk_upload_xlsx,price_list_pdf"
KG-2224,price_usd,2,38000.0 || 48000.0,"bulk_upload_xlsx,price_list_pdf"
KG-2224,width_in,2,18.0 || 18.25,"bulk_upload_xlsx,price_list_pdf"
KG-2375,height_in,2,19.0 || 19.5,"bulk_upload_xlsx,price_list_pdf"
KG-2375,price_usd,2,18000.0 || 25000.0,"bulk_upload_xlsx,price_list_pdf"
KG-2375,width_in,2,13.0 || 13.75,"bulk_upload_xlsx,price_list_pdf"
