kg_id,match_score,external_title,decision
KG-2098,100,Bharany Ramayana,"merged: provenance,acquired_from,publications_and_exhibitions"
KG-1397,100,"Draupadi and her five husbands leave after visiting a prince,
Illustration from ","merged: provenance,acquired_from,publications_and_exhibitions"
KG-1013,100,Illustration from the Bhagavata Purana: Shishupal and his Retinue,"merged: provenance,acquired_from"
KG-1036,100,"Illustration to the ‘Large’ Guler-Basohli Bhagavata Purana: 
The Liberation of N","merged: provenance,physical_location"
KG-1515,100,"An illustration from a Kirata Arjuniya series , circa 1820
Kirata Arjuniya",merged: provenance
KG-1716,100,A bronze figure of Jambhala,"merged: provenance,acquired_from"
KG-2101,100,"A Pair of Carved, silvered  and painted horses","merged: provenance,acquired_from"
KG-1242,100,"Hand colored, gelatin Portrait of Maharaja of Jaipur","merged: provenance,physical_location,acquired_from"
KG-2105,100,Hunting Party Miniature,"merged: provenance,acquired_from"
KG-1513,100,A Tibetan Thangka depicting Saddha,"merged: provenance,acquired_from"
,0,"Yoshida Hiroshi Taj Mahal in the morning, signed in ink Yoshida, in pencil in Ro",no match >= threshold
,0,Yoshida Hiroshi Afghanistan day woodblock,no match >= threshold
,0,Yoshida Hiroshi Taj Mahal in the evening,no match >= threshold
,0,Yoshida Hiroshi Afghanistan evening woodblock,no match >= threshold
KG-1023,100,Kakubha Ragini,"merged: provenance,physical_location,acquired_from"
KG-1021,100,Bhim Singh with attendants,"merged: provenance,physical_location"
KG-1006,100,A Buff Sandstone Torso of  Vishnu,"merged: provenance,acquired_from"
KG-2024,100,A gray schist head of Boddhisattva,"merged: provenance,acquired_from"
KG-1007,100,A stucco hand of Buddha,"merged: provenance,acquired_from"
KG-1016,96,A Grey Schist Figure of a seated Boddhisattva,"merged: provenance,acquired_from"
,0,A gray schist frieze with three  Boddhisattva,no match >= threshold
KG-1017,100,A Green Schist Figure of a Standing Attendant,"merged: provenance,acquired_from"
KG-1032,90,Panchamukhilingam,merged: provenance
KG-1085,96,A sandstone Chaturmukhilingam,"merged: provenance,acquired_from,publications_and_exhibitions"
KG-1084,100,A black stone bust of Buddha,"merged: provenance,acquired_from,publications_and_exhibitions"
KG-1001,100,A painting of a composite horse and rider,"merged: acquired_from,publications_and_exhibitions"
KG-1315,100,Inebriated ascetics,"merged: acquired_from,publications_and_exhibitions"
KG-1003,100,Ganesha,"merged: physical_location,acquired_from,publications_and_exhibitions"
KG-1794,100,Mahakala Shadbhuja,"merged: provenance,physical_location,publications_and_exhibitions"
KG-1670,100,Chakrasamvara and Vajrayogini,"merged: provenance,physical_location,acquired_from,publications_and_exhibitions"
KG-1739,100,Chakrasamvara,"merged: provenance,physical_location,acquired_from"
KG-1523,100,Illustration to the Devi Mahatmya: Kali Withdraws from Vishnu,"merged: provenance,physical_location"
KG-1396,100,Kali Trampling Shiva,"merged: provenance,physical_location,acquired_from"
KG-1511,100,Chinnamasta,"merged: provenance,physical_location,acquired_from"
KG-1631,100,Lalita Maha Tripura Sundari,"merged: provenance,physical_location,acquired_from"
KG-1062,100,Uma (Parvati),"merged: provenance,physical_location,acquired_from"
KG-1069,100,A Ram’s Head Shamshir,"merged: provenance,physical_location,acquired_from"
KG-1060,100,Krishna with Female Attendants,"merged: provenance,physical_location"
KG-1745,100,Leaf from a Gita Govinda series: Radha Vents her Frustrations,"merged: provenance,physical_location"
KG-1715,100,Buddha Shakyamuni,"merged: provenance,physical_location,acquired_from,publications_and_exhibitions"
KG-1008,100,Bodhisattva,"merged: provenance,physical_location,acquired_from"
KG-1813,100,Tara,"merged: physical_location,acquired_from,publications_and_exhibitions"
KG-1061,100,Yaksha,"merged: provenance,physical_location"
KG-1715,100,Buddha Shakyamuni,skipped: KG-# already enriched from earlier source
KG-1775,100,"An illustration to a Rasikapriya series:
Radha, seated in a pavilion, visited by","merged: provenance,physical_location"
KG-1615,100,Illustration from the Ramayana,"merged: provenance,physical_location,acquired_from"
KG-1100,100,Illustration to the Ramayana: Rama and Sita Enthroned,merged: physical_location
KG-1639,100,A leaf from the ‘Second’ Guler Ramayana series: Rama and His Allies Take Counsel,"merged: provenance,physical_location,acquired_from"
KG-1639,100,Two illustrations from the Ramayana: Sita in Ravana’s Palace,skipped: KG-# already enriched from earlier source
