work_id,missing_core,missing_artsy_required,core_completeness_pct,missing_fields
KG-0012,3,1,66.7,"artist,year,primary_image_url"
KG-0906,5,3,44.4,"artist,year,classification,medium,primary_image_url"
KG-1000,2,0,77.8,"artist,price_usd"
KG-1001,3,0,66.7,"artist,year,price_usd"
KG-1002,2,0,77.8,"artist,price_usd"
KG-1003,2,0,77.8,"artist,year"
KG-1004,3,0,66.7,"artist,year,price_usd"
KG-1005,1,1,88.9,primary_image_url
KG-1006,3,0,66.7,"artist,year,price_usd"
KG-1007,2,0,77.8,"artist,year"
KG-1008,3,0,66.7,"artist,year,width_in"
KG-1009,3,0,66.7,"artist,year,price_usd"
KG-1010,3,0,66.7,"artist,year,price_usd"
KG-1011,2,0,77.8,"artist,year"
KG-1012,4,0,55.6,"artist,year,width_in,price_usd"
KG-1013,2,0,77.8,"artist,price_usd"
KG-1014,3,0,66.7,"artist,year,width_in"
KG-1015,3,0,66.7,"artist,year,price_usd"
KG-1016,4,0,55.6,"artist,height_in,width_in,price_usd"
KG-1017,3,0,66.7,"artist,width_in,price_usd"
KG-1018,3,1,66.7,"height_in,width_in,primary_image_url"
KG-1019,3,0,66.7,"artist,height_in,width_in"
KG-1020,3,0,66.7,"artist,height_in,width_in"
KG-1021,2,0,77.8,"artist,price_usd"
KG-1022,4,0,55.6,"artist,height_in,width_in,price_usd"
KG-1023,2,0,77.8,"artist,price_usd"
KG-1024,2,0,77.8,"artist,price_usd"
KG-1025,1,0,88.9,artist
KG-1026,2,0,77.8,"artist,price_usd"
KG-1027,1,0,88.9,artist
KG-1028,2,0,77.8,"artist,price_usd"
KG-1029,2,0,77.8,"artist,price_usd"
KG-1030,5,0,44.4,"artist,year,height_in,width_in,price_usd"
KG-1031,3,0,66.7,"artist,height_in,width_in"
KG-1032,4,0,55.6,"artist,height_in,width_in,price_usd"
KG-1033,3,0,66.7,"artist,height_in,width_in"
KG-1034,3,0,66.7,"artist,height_in,width_in"
KG-1035,4,1,55.6,"height_in,width_in,primary_image_url,price_usd"
KG-1036,3,1,66.7,"height_in,width_in,primary_image_url"
KG-1037,3,1,66.7,"height_in,width_in,primary_image_url"
KG-1038,3,0,66.7,"artist,height_in,width_in"
KG-1039,6,2,33.3,"year,classification,height_in,width_in,primary_image_url,price_usd"
KG-1040,6,2,33.3,"year,classification,height_in,width_in,primary_image_url,price_usd"
KG-1042,6,2,33.3,"year,classification,height_in,width_in,primary_image_url,price_usd"
KG-1044,6,2,33.3,"year,classification,height_in,width_in,primary_image_url,price_usd"
KG-1045,6,2,33.3,"year,classification,height_in,width_in,primary_image_url,price_usd"
KG-1046,5,0,44.4,"artist,year,height_in,width_in,price_usd"
KG-1047,6,2,33.3,"year,classification,height_in,width_in,primary_image_url,price_usd"
KG-1048,6,2,33.3,"year,classification,height_in,width_in,primary_image_url,price_usd"
KG-1049,6,2,33.3,"year,classification,height_in,width_in,primary_image_url,price_usd"
KG-1051,6,2,33.3,"year,classification,height_in,width_in,primary_image_url,price_usd"
KG-1052,6,2,33.3,"year,classification,height_in,width_in,primary_image_url,price_usd"
KG-1053,6,2,33.3,"year,classification,height_in,width_in,primary_image_url,price_usd"
KG-1054,6,2,33.3,"year,classification,height_in,width_in,primary_image_url,price_usd"
KG-1055,6,2,33.3,"year,classification,height_in,width_in,primary_image_url,price_usd"
KG-1056,6,2,33.3,"year,classification,height_in,width_in,primary_image_url,price_usd"
KG-1057,6,2,33.3,"year,classification,height_in,width_in,primary_image_url,price_usd"
