work_id,title,artist,year,period_school_region,classification,medium,materials,height_in,width_in,depth_in,price_usd,status,provenance_text,exhibitions,publications,signature,coa_status,primary_image_url,primer_uuid,location,external_id,external_id_system,artsy_eligibility,has_conflict,conflict_fields,canonical_updated_at,title_conflict,artist_conflict,year_conflict,period_school_region_conflict,classification_conflict,medium_conflict,materials_conflict,height_in_conflict,width_in_conflict,depth_in_conflict,price_usd_conflict,status_conflict,provenance_text_conflict,exhibitions_conflict,publications_conflict,signature_conflict,coa_status_conflict,primary_image_url_conflict,primer_uuid_conflict,location_conflict,external_id_conflict,external_id_system_conflict,artsy_eligibility_conflict
KG-1000,A Guru and Student in the Wilderness,,1850,,"Drawing, Collage or other Work on Paper",Opaque Watercolor on Paper,Opaque Watercolor on Paper,8.125,11.125,,,active,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/f575dde4-60fb-41d0-a6ef-22eb4e85379e/Guru%20and%20Student%20A.jpg?Expires=1802811607&Signature=uBUDfWqaW4t7wZY~od1~QAIofBS3qXTzPOW5W7c595HhPYT4jk3j2xv~YboNuSk7YnfzlfTmLS1L7p-tR-Eh991AaGbIIa0M1zv47q8vh~ybm0sLheweehCAcGuLcVA1LDaJwOlTxEpEUNxT-5Fcon6AsjoORABR61P6A6nZuo~hKblC7RMpTp1Zr6zOnjjA33zXDMfw0CRsJ~j8EoLcjsiHAikXvEDh-X8FYUoJ0akZPKR5RPXY2renXla098kLp1H3OQH2141K0xCMBthwbUq8FSGyb4vf7bX~Yz6OsWOeikZgH4I-tvLco21bAQx9Ls4b3bBVif6buWUb0MynQA__&Key-Pair-Id=K2SVGVHI7PEVAH,f575dde4-60fb-41d0-a6ef-22eb4e85379e,,,,,1,classification,2026-05-06T06:08:32.942502+00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KG-1001,Composite Horse and Rider,,,,"Drawing, Collage or other Work on Paper",Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,8.5,6.0,,,active,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/e862814f-2953-4634-b38a-1c614c951a15/Scan%202%202.jpg?Expires=1802811607&Signature=ICD3laKeos2INyr440wTcZNr9BzUzcL1FCuCidqKXOMIe7DZO7or0JOs8Sdp0C6l4X5yzi2dbh2yAn0jBdmsqvpbVBlkp2jTChh3pYMS9zqU1l2Jkq2XnR8mtYCeKya4tVxWNydv2ERJhCBwDS9yHs0UUE9PbgW4VRWWUlNk~Is3gOZYpf9wgr0mz1m1UISG7V6wiIzcQtEp~zhfm-kKy-svfMqCVtyW4hXg-sfsAWLo1TSeH69bh6vE4DppbdM6--rGE1MjT2iabjtsgUoea2Das7aIh7jOZr54ZnUOAwiY5AaP2oMKwg78IQV5Ym4m27NlNFjawWpDnvbeLKMlzA__&Key-Pair-Id=K2SVGVHI7PEVAH,e862814f-2953-4634-b38a-1c614c951a15,,,,,1,classification,2026-05-06T06:08:32.942502+00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KG-1002,Folio from an Usha-Aniruddha Series: Chitralekha Visits Aniruddha in Dwarka,,1840,,"Drawing, Collage or other Work on Paper",Gouache and gold on paper,Gouache and gold on paper,9.0,12.0,,,active,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/4f256122-ce73-4f9e-a5ab-ff02c4fa9229/Screenshot%202023-06-07%20at%2012.49.56%20PM.jpg?Expires=1802811607&Signature=sMRMZD2S6Eual-VaptvG0SiPYybMsfgf9Rn4WIlSQgaJOfCPi1fhNHPJzQlk5-kscctQv88ZTaX0JlGmStVXsU12XIZtQxPutRPaMRyKJr2xc7T10eAyrdmOl-GRtE1WI~gE5iQg1iuVDi9IPuwhK4pTWQ2lEoEyARjAQiXfa8qfRwRiMTpWPuCL9tMLY7DBkXbGQiWBoCT8L9-edDb~RFUApDe3t1iqOxpnYZj2LLJjPZn214eX7VTEuJkPaczYWr0sBsyXix7XupqipPATCx70w5sEUpEL~XolGbZvhnqiOT~FAVgsR2MYL2~CeEvgR3jHGQ-uwaY4XSUUYgvFrA__&Key-Pair-Id=K2SVGVHI7PEVAH,4f256122-ce73-4f9e-a5ab-ff02c4fa9229,,,,,1,classification,2026-05-06T06:08:32.942502+00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KG-1003,Ganesha Enthroned,,,,"Drawing, Collage or other Work on Paper",Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,10.75,11.0,,18000.0,active,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/da0a03d9-bd92-4ad4-818d-701daf9003db/CC%20Ganesha%20Enthroned%20crop.jpg?Expires=1802811607&Signature=rcoZ6-kj6LW54g5y4tqgYdA9oldIMPSj1qn942HgfMf1Kr4xr0q9nJgXFxTgYf9Nb4n9f2OdVJ93krRQbMYQZhIZYfT6MOxKX1vRDlFNiBQeVHrd6ZrfYOxXLhxdcNeI2H9WanOsH~TYx8sKM7Ajsy2FJPZEmMTmLeIGSuRqxohUR~rHHXJFP~9B6m5SVtyon2-3CAfrUtMfBM~MbRG-Tq1IQ1l9ZzcfJ5XDlnnIXIJ1j1EosASk5GccbUiokUo1VPB~5J2yz4FvlyQhUXV-R1KvT9goQoqLZuxYMojoabQIv7kyYLDgrRryg5Uf36NJYGgqyYmJGdsUpwa46dX2CQ__&Key-Pair-Id=K2SVGVHI7PEVAH,da0a03d9-bd92-4ad4-818d-701daf9003db,,,,,1,classification,2026-05-06T06:08:32.942502+00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KG-1004,Shiva and Parvati,,,,"Drawing, Collage or other Work on Paper",Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,8.0,10.0,,,active,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/23d82cb3-654a-4e36-9bfe-d1dbf5d9f8ed/CC%20Shiva%20and%20Parvati%20crop.jpg?Expires=1802811607&Signature=rhPNduK-ZHOQMQHs6x9~prIPkQhsWs9OTbBxwK~3q-0mRHp00Xm-Dc3Xti3~WzqI49h7GOdiQPs6gvjA1N9YaIEbGFR6AL6fupJ8YgtupPSQ-hCsLdR8AGIgXk6ps5pFnm92x4d0PHT80Meg8-G3toiwfacDSTWv7275skytn-D3DyHLXK6FPPgbt~XT65eN-SucPdxsyUzUjP50TUyICscC4ESZ-MN~jXazIJpielookJ6NMKc9uJlXHEZfR4Zag71mL0V~tzQ7egLmYzACQ8V-vs0G3e3x3my-r3HqWjBP~GEWepP2a4lKInbdR6ijG-m5EMV5r8PSbd-BaEKaUw__&Key-Pair-Id=K2SVGVHI7PEVAH,23d82cb3-654a-4e36-9bfe-d1dbf5d9f8ed,,,,,1,classification,2026-05-06T06:08:32.942502+00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KG-1006,A Buff Sandstone Torso of Vishnu,,,,Sculpture,Sandstone,Sandstone,40.0,26.0,12.0,,active,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/36e372bf-8acb-4580-a181-864f261a453f/Copy%20of%20220715_KapoorGalleries_0259-Pano.jpg?Expires=1802811608&Signature=wiJMpc7X~~fQyzoksi4U~x9Y43knWaVWBvyfyUEEC3H-aGFD0bssE5KZdx5jOMqCHTlmP9BF3vx49hAlK8LcF49fmHFzVygj-gJ2wfdaxYxCaglMitiuLlugYVk4r29iot4z2g6GjcJohMeBtxgewZsYJQkotPmqH5Nse2VQ01gCfVdcT2-FxLdrKH-OBVdWBmObg4cK-QXD6tKhRNHfI77-Tq9eJl1gfwnnQiv1A2LjOlwllvDzqHiPysqMbEOuEUWj0b2gz~IWRCMa6tFq9bFBa~QUQvMZ7RB3HTJsDOF710Oj0Dwghww7zyw4WMEh2QCZA8fxb0mvRQSbJznqUw__&Key-Pair-Id=K2SVGVHI7PEVAH,36e372bf-8acb-4580-a181-864f261a453f,,,,,0,,2026-05-06T06:08:32.942502+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KG-1007,A Stucco Hand of Buddha,,,,Sculpture,Stucco,Stucco,20.0,9.0,8.0,85000.0,active,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/0689a076-988c-4093-bd43-c8c607ebdebf/220715_KapoorGalleries_0046-Pano.jpg?Expires=1802811608&Signature=N-C6nUFoJtWetAfTOfuL-hTdoyupM5ZUkXAckc1s5zWOe4tXglWgkXMG6wfr2mP-xQ2vVZmjGl4dX4M~Q8bK3XxTHx3pX-~Oi~idJ6z0KT01k-VbnSXsybZh905vSKMoGKA-w~f8soYkvx4SCPHxFd~mjCotBBK70e4kqx2Kb4iNAa2e7B58FNmtTmy3MxJzldjKw0qy6YbSfGVccMOZNvFc~SFosOwq2qEE-fyHcCxIRH6dj9jDjBSCq6UzaX5dJJDCUGfMGeCDotMYiwHZnGx~rARIGzzBvDmtfFB8ZkGZqjIzL7Fa9wrhpITL8RL~4iITROsluDU7wPgh~eRRXA__&Key-Pair-Id=K2SVGVHI7PEVAH,0689a076-988c-4093-bd43-c8c607ebdebf,,,,,1,classification,2026-05-06T06:08:32.942502+00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KG-1008,Head of a Bodhisattva - Gray Schist,,,,Sculpture,Gray Schist,Gray Schist,10.0,,,9000.0,active,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/96a1f10f-3cb2-43f5-82d1-451c707a9565/Copy%20of%20220715_KapoorGalleries_0030-Pano.jpg?Expires=1802811608&Signature=YaHsTdKQuXpkT99g~XsjAfQh9SjzUwiQTsyyQy7biXDlYkK1QeD8np9NFOXdYYAm2tC5UAf8RlMO9qPwVKrAWBpzroBVzgav0yWeYhqzNUngLKVBEmvsnLxumkccF6eHSMF1ZPsiP4LcaxoeoQgbUp2NNf~fMlxvmEJs8l38F8mdiJrRfJQhTW-Tc0xpYDGFjtDImrg0xmMwzgUNNwZFIdDY~yK7OGf7JGMvouJxbYtpr9Is1GO1d5wnNFFkuJUrFcebEO9ZARk~2kkqZPnTLxWMzxSWa3LjEEuzWUEbRUZTcNR-q7R9xHVyNXRB0NyCqqy8r4fagupBAyIbkHYj2Q__&Key-Pair-Id=K2SVGVHI7PEVAH,96a1f10f-3cb2-43f5-82d1-451c707a9565,,,,,0,,2026-05-06T06:08:32.942502+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KG-1009,Frieze with three Boddhisattvas,,,,Sculpture,Blue Grey Schist,Blue Grey Schist,12.0,18.0,4.0,,active,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/0f833f9e-b200-42cd-a482-bd8aa2bec2bc/Copy%20of%20220715_KapoorGalleries_0180.jpg?Expires=1802811608&Signature=E-CvaGckhYiySo5dWC0brzmwZbW6nDtlgSS60ryG7QkPYw0DuCPoGOyMt0hu4pVCM6SywUr5wzmppb7WniWOotGHKVcQW8t6kzbk~L0gnog1PIJTdgAHzP1ylSxSrU98tgXIMohJS~ssq3CysQEn8s8gJ3YYYukZtyfkZ9JXo1cjd~nEf7UjJNw5d4FWwUzS1YKzwEpik0zyFt-oacY618wQtAn6yq9csfKCgcPgOXkXJ6MYS-dg2g~0pIjfRrgymPIjNcflSPDc2ed2qj3g~nnyaegqIl0BH1Qj~LxCc0cCQGElMJUXH6i2utEWRqicvSpL1xNrCB5HRH-VWC~tgg__&Key-Pair-Id=K2SVGVHI7PEVAH,0f833f9e-b200-42cd-a482-bd8aa2bec2bc,,,,,0,,2026-05-06T06:08:32.942502+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KG-1010,A gray schist relief of Panchika and Hariti,,,,Sculpture,Schist,Schist,19.0,18.0,7.0,,active,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/5db1cd6b-f5a0-40b7-a25c-0be7371e9408/Copy%20of%20220715_KapoorGalleries_0164.jpg?Expires=1802811608&Signature=QtQUZ3UTOgZJTOuhUy2xXsixO6UootJrbbagc0UagsgP5xwYv3JBrsg7fduu7PTplS8D4rJ6by0UfX0eTfojgX3xMihQpV8S5YL8MKrRgVQQTRPY8pYHsz44nmHLiSVFOBak2ciwqvsDn0vG4y8jy5gCu0z~cGMPqkgEE22QTpE40-WkfjJ0sNekJFUCZ0P4r1mfvMFe1Z1~r8VKvQfXn9t3s6-GXlBGS1h43v7x5dKCMRCGp6MMkx4mCggbW5JZkvvLJ~rwDcCqrJG-E-C5IZhK-v93lZmxWxobAo~UQbPMBcfvy2m9CR3EAseeoB1WEyEbwgO~~3WkF47xyo~X4w__&Key-Pair-Id=K2SVGVHI7PEVAH,5db1cd6b-f5a0-40b7-a25c-0be7371e9408,,,,,0,,2026-05-06T06:08:32.942502+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
