work_id,title,classification,medium,year,price_usd,ready_when_photographed
KG-0906,Abhayakaragupta,,,,80000.0,no
KG-1039,"View of Verdabendroug, Fortified Heights in the Bara-Mahl",,Aquatint with brown wash,,,no
KG-1040,Animated view of Oucour in the Maissour,,Aquatint with brown wash,,,no
KG-1042,View of part of the palace of Madhoureh,,Aquatint with brown wash,,,no
KG-1044,View of the Djag-Deo Warangor Valley and other fortified heights in the Bara-Mahl,,Aquatint with brown wash,,,no
KG-1045,Animated view of the caves of Ellora,,Aquatint with brown wash,,,no
KG-1047,"Animated view of Fort Saint Georges in Madras, taken from the east",,Aquatint with brown wash,,,no
KG-1048,Beef colossal in Tanjore,,Aquatint with brown wash,,,no
KG-1049,General view of Ellora,,Aquatint with brown wash,,,no
KG-1051,View of Ryacotte in the Bara-Mahl,,Aquatint with brown wash,,,no
KG-1052,Series of engravings/prints,,Aquatint with brown wash,,,no
KG-1053,View of the ruins of the palace of Madoureh,,Aquatint with brown wash,,,no
KG-1054,General view of Ellora II,,Aquatint with brown wash,,,no
KG-1055,Animated view of the southeast of Tritchinapali,,Aquatint with brown wash,,,no
KG-1056,"Animated view of the Dau-Tali temple, on two floors",,Aquatint with brown wash,,,no
KG-1057,Animated view of the temple of Doumar Leyna,,Aquatint with brown wash,,,no
KG-1058,"View of the Rock of Trichinopoly, Taken on the Kaveri",,Aquatint with brown wash,,,no
KG-1322,"Fly TWA, the Orient",,Linen backed poster,1955,,no
KG-1330,To India by Scandinavian Airlines System,,Linen backed poster,1950,,no
KG-1331,India by SAS,,Linen backed poster,1955,,no
KG-1332,India by SAS (Duplicate),,Linen backed poster,1955,,no
KG-1333,India by SAS (Duplicate),,Linen backed poster,1955,,no
KG-1375,Lucknow/The City of Gardens,,Linen-backed poster,1935,,no
KG-1539,A Painting of the Sadhya Raga,,Opaque pigments and gold on Wasli,1800,,no
KG-1726,Vajradhara (small),,,,30000.0,no
KG-1727,Maitreya,,,1301,,no
KG-1728,Prajnaparamita,,,1501,,no
KG-1731,Vajravarahi,,,,60000.0,no
KG-1740,White Tara,,,,15000.0,no
KG-1743,Saraswati,,,,50000.0,no
KG-1756,Madonna and Child,,,1700,,no
KG-1800,A carved Amitayus book cover,,Wood panel with traces of gilding,1301,,no
KG-1835,Thousand-armed Avalokiteshvara,,,1901,,no
KG-1862,Pair of Mounted Butter Lamps,,Gilt silver and jewel,1701,,no
KG-1873,Ask Jeff,,,,,no
KG-1877,David Lynch - Untitled,,Lithograph,1973,,no
KG-1878,Paul Gorka - Not-So-Still Life,,oil on canvas,,,no
KG-1880,A DUTCH SILVER VOC INGOT,,Silver,1793,,no
KG-1883,James Hunter - Picturesque Scenery in the Kingdom of Mysore,,Aquatint,1804,40000.0,no
KG-1884,Coco De Mer Baskets,,,1901,,no
KG-1887,Laxman Pai Nirvana Lithograph,,Lithograph,,,no
KG-1888,Saadian Wooden Double Door,,Painted wood,1501,,no
KG-1889,Petrified Wood Table Top,,,1901,,no
KG-1890,Teamwork Builds Ships,,Linen backed poster,1918,,no
KG-1892,Laying animal,,,,,no
KG-1908,View taken in Fort Madhoureh,,Aquatint with brown wash,,,no
KG-1910,Series of engravings/prints,,,,,no
KG-1912,General view of Ellora,,Aquatint with brown wash,,,no
KG-1913,Animated view from the southeast of Tritchinapali,,Aquatint with brown wash,,,no
KG-1916,View taken in the fort of Tritchinapali,,Aquatint with brown wash,,,no
KG-1917,Bas relief of the temple of Indra,,"Lithograph in black pencil, lined drawing, includes the engraving of the drawing (plate no. 40 from the album) by Lecerf as well as a set of ten plates enhanced on engraved lines and a set of 22 prints (plus the first three pages of the album: title and summary)",,,no
KG-1922,Torments of the Evil Tongues,,Oil on Canvas,1601,,no
KG-1942,Marble Nandi,,Marble,1800,6000.0,no
KG-1944,Elephant,,,,,no
KG-1947,Yamani,,,501,,no
KG-1953,Pambadam Ear Ornaments,,gold sheet over a resin core,1900,,no
KG-2033,Amulet,,,1701,60000.0,no
KG-2104,NEED TITLE,,,,,no
KG-2187,Album of Early 19th Century Photographs,,,,,no
KG-2207,A Portrait of Raja,,"INDIA, RAJASTHAN, MEWAR OR KOTAH",,3000.0,no
KG-2217,Indigo Factory,,Chromolithograph,,,no
KG-2218,Caves of Ajanta - Buddhist,,Chromolithograph,,,no
KG-2223,Sketches Illustrating the Manners & Customs of the Indians & Anglo Indians Drawn on Stone from the Original Drawings from Life,,Lithographed title and dedication and 6 lithographed hand-colored plates.,1842,,no
KG-2225,Dutch Nobleman,,,,,no
KG-2226,Celadon Lacquer Tea Bowl (Kodai Ujie),,ceramic,2024,,no
KG-2238,A Comprehensive Map of the Great Game,,color lithograph,1892,,no
KG-2258,A Portrait of Mian Hadala Pal (r. 1673–1678),,Opaque watercolor heightened with gold,,,no
KG-2263,Chinese Bird Painting,,,,,no
KG-2267,"""Mother always, (from Tales of Amnesia)""",,Digital C-print,2002,,no
KG-2271,"The Writers’ Buildings, Calcutta",,aquatint and engraving,1798,,no
KG-2321,Contemporary Artworks by Korean Artists,,,,,no
KG-2352,"Flower Brooch, Tiffany and co",,Diamonds and platinum,,,no
KG-2354,Flower Ring,,"Diamonds, enamel, and gold",,,no
KG-2355,Gold and Diamond Ring,,Diamond and gold,,,no
KG-2356,Diamond Point Cut Ring,,"Gold, enamel, diamond",,,no
KG-2358,Diamond Ring,,Diamond and gilded silver,,,no
KG-2424,"Red Moon, Red Flowers, 1",,Acrylic on canvas on board,2024,8000.0,no
KG-2426,"Subaltern Abstractions, 22",,Acrylic on canvas on board,2024,8000.0,no
KG-2427,Black Buck from Sir Bani Yas Island,,Graphite,2021,8000.0,no
