Work_Number,Work_Artist,Work_Title,Work_Year,Work_Price,Work_Type,Work_Medium,I_Iinfo::D__Height,I_Iinfo::D__Width,I_Iinfo::D__Depth,I_Imgs::URL_public  
KG-1000,,A Guru and Student in the Wilderness ,1850,,Painting,Opaque Watercolor on Paper,8.125,11.125,,https://data-us-east-1.primerws.com/kapoor_galleries/i/f575dde4-60fb-41d0-a6ef-22eb4e85379e/Guru%20and%20Student%20A.jpg?Expires=1802811607&Signature=uBUDfWqaW4t7wZY~od1~QAIofBS3qXTzPOW5W7c595HhPYT4jk3j2xv~YboNuSk7YnfzlfTmLS1L7p-tR-Eh991AaGbIIa0M1zv47q8vh~ybm0sLheweehCAcGuLcVA1LDaJwOlTxEpEUNxT-5Fcon6AsjoORABR61P6A6nZuo~hKblC7RMpTp1Zr6zOnjjA33zXDMfw0CRsJ~j8EoLcjsiHAikXvEDh-X8FYUoJ0akZPKR5RPXY2renXla098kLp1H3OQH2141K0xCMBthwbUq8FSGyb4vf7bX~Yz6OsWOeikZgH4I-tvLco21bAQx9Ls4b3bBVif6buWUb0MynQA__&Key-Pair-Id=K2SVGVHI7PEVAH  
KG-1001,,Composite Horse and Rider,,,Painting,Opaque watercolor heightened with gold on paper,8.5,6,,https://data-us-east-1.primerws.com/kapoor_galleries/i/e862814f-2953-4634-b38a-1c614c951a15/Scan%202%202.jpg?Expires=1802811607&Signature=ICD3laKeos2INyr440wTcZNr9BzUzcL1FCuCidqKXOMIe7DZO7or0JOs8Sdp0C6l4X5yzi2dbh2yAn0jBdmsqvpbVBlkp2jTChh3pYMS9zqU1l2Jkq2XnR8mtYCeKya4tVxWNydv2ERJhCBwDS9yHs0UUE9PbgW4VRWWUlNk~Is3gOZYpf9wgr0mz1m1UISG7V6wiIzcQtEp~zhfm-kKy-svfMqCVtyW4hXg-sfsAWLo1TSeH69bh6vE4DppbdM6--rGE1MjT2iabjtsgUoea2Das7aIh7jOZr54ZnUOAwiY5AaP2oMKwg78IQV5Ym4m27NlNFjawWpDnvbeLKMlzA__&Key-Pair-Id=K2SVGVHI7PEVAH  
KG-1002,,Folio from an Usha-Aniruddha Series: Chitralekha Visits Aniruddha in Dwarka,1840,,Painting,Gouache and gold on paper,9,12,,https://data-us-east-1.primerws.com/kapoor_galleries/i/4f256122-ce73-4f9e-a5ab-ff02c4fa9229/Screenshot%202023-06-07%20at%2012.49.56%20PM.jpg?Expires=1802811607&Signature=sMRMZD2S6Eual-VaptvG0SiPYybMsfgf9Rn4WIlSQgaJOfCPi1fhNHPJzQlk5-kscctQv88ZTaX0JlGmStVXsU12XIZtQxPutRPaMRyKJr2xc7T10eAyrdmOl-GRtE1WI~gE5iQg1iuVDi9IPuwhK4pTWQ2lEoEyARjAQiXfa8qfRwRiMTpWPuCL9tMLY7DBkXbGQiWBoCT8L9-edDb~RFUApDe3t1iqOxpnYZj2LLJjPZn214eX7VTEuJkPaczYWr0sBsyXix7XupqipPATCx70w5sEUpEL~XolGbZvhnqiOT~FAVgsR2MYL2~CeEvgR3jHGQ-uwaY4XSUUYgvFrA__&Key-Pair-Id=K2SVGVHI7PEVAH  
KG-1003,,Ganesha Enthroned ,,18000,Painting,Opaque watercolor heightened with gold on paper,10.75,11,,https://data-us-east-1.primerws.com/kapoor_galleries/i/da0a03d9-bd92-4ad4-818d-701daf9003db/CC%20Ganesha%20Enthroned%20crop.jpg?Expires=1802811607&Signature=rcoZ6-kj6LW54g5y4tqgYdA9oldIMPSj1qn942HgfMf1Kr4xr0q9nJgXFxTgYf9Nb4n9f2OdVJ93krRQbMYQZhIZYfT6MOxKX1vRDlFNiBQeVHrd6ZrfYOxXLhxdcNeI2H9WanOsH~TYx8sKM7Ajsy2FJPZEmMTmLeIGSuRqxohUR~rHHXJFP~9B6m5SVtyon2-3CAfrUtMfBM~MbRG-Tq1IQ1l9ZzcfJ5XDlnnIXIJ1j1EosASk5GccbUiokUo1VPB~5J2yz4FvlyQhUXV-R1KvT9goQoqLZuxYMojoabQIv7kyYLDgrRryg5Uf36NJYGgqyYmJGdsUpwa46dX2CQ__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/318a4615-2e2e-4f24-ab6c-760796f481df/Ganesha%20Enthroned.jpg?Expires=1802811607&Signature=ujAShu~ajnSznuBdTGfRicWjyHzdmVnLTEzZ8KwUKLCtClJqqS2q74GdoHGkLZFDFDiEMzUOT5RjXEYPNVtmmaf6956Lf2IFXAI-uFWIP55CBlN~EZlF2TZMwbL9F21TcWcprdG0ZJ7W87Oeniuc0dTTL7SwV9eyF6c1lwYMtXhE3lw~ra1-vGuhbHs4qDD-FBElNqmGqFLvhm0pBC21jR1vPAglimrmrEHUJ81mNusxB~X1eVI6qgtWHjAC5JVFL9HrKm9stjUK~U9spMYW2Wqcw8wTr1TwyWILpQQmR1JjD-o6cm-kdVIR-bEIF6Reope7gZnS3q1ZS46sFFrzMw__&Key-Pair-Id=K2SVGVHI7PEVAH  
KG-1004,,Shiva and Parvati ,,,Painting,Opaque watercolor heightened with gold on paper,8,10,,https://data-us-east-1.primerws.com/kapoor_galleries/i/23d82cb3-654a-4e36-9bfe-d1dbf5d9f8ed/CC%20Shiva%20and%20Parvati%20crop.jpg?Expires=1802811607&Signature=rhPNduK-ZHOQMQHs6x9~prIPkQhsWs9OTbBxwK~3q-0mRHp00Xm-Dc3Xti3~WzqI49h7GOdiQPs6gvjA1N9YaIEbGFR6AL6fupJ8YgtupPSQ-hCsLdR8AGIgXk6ps5pFnm92x4d0PHT80Meg8-G3toiwfacDSTWv7275skytn-D3DyHLXK6FPPgbt~XT65eN-SucPdxsyUzUjP50TUyICscC4ESZ-MN~jXazIJpielookJ6NMKc9uJlXHEZfR4Zag71mL0V~tzQ7egLmYzACQ8V-vs0G3e3x3my-r3HqWjBP~GEWepP2a4lKInbdR6ijG-m5EMV5r8PSbd-BaEKaUw__&Key-Pair-Id=K2SVGVHI7PEVAH  
KG-1006,,A Buff Sandstone Torso of Vishnu,,,Sculpture,Sandstone,40,26,12,https://data-us-east-1.primerws.com/kapoor_galleries/i/36e372bf-8acb-4580-a181-864f261a453f/Copy%20of%20220715_KapoorGalleries_0259-Pano.jpg?Expires=1802811608&Signature=wiJMpc7X~~fQyzoksi4U~x9Y43knWaVWBvyfyUEEC3H-aGFD0bssE5KZdx5jOMqCHTlmP9BF3vx49hAlK8LcF49fmHFzVygj-gJ2wfdaxYxCaglMitiuLlugYVk4r29iot4z2g6GjcJohMeBtxgewZsYJQkotPmqH5Nse2VQ01gCfVdcT2-FxLdrKH-OBVdWBmObg4cK-QXD6tKhRNHfI77-Tq9eJl1gfwnnQiv1A2LjOlwllvDzqHiPysqMbEOuEUWj0b2gz~IWRCMa6tFq9bFBa~QUQvMZ7RB3HTJsDOF710Oj0Dwghww7zyw4WMEh2QCZA8fxb0mvRQSbJznqUw__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/885f1cbb-929d-431e-86d8-66601eeb808d/Copy%20of%20220715_KapoorGalleries_0287-Pano.jpg?Expires=1802811795&Signature=d2QuOC0J50SSvoDNp2ZsWpHqLtFOditn6gskaZe-sWmNuK00ytET998nq~ErCAsprZB7X7pGyvg7gW2VoHVHjbP2cGg8iqhtzYdV4-rRprEmblaS3V5VKnSfS7UnYmq9aF-xjWypKWhfcmdOoRS66m3rMiMzKWnlqZ7AhFxq9JbbHroekWZxMFQjdDEMSjIX82Zn1JNwWxOMOp9J45PQADhNFbmAfxI3i6~VgE7Are2KXM3zgiqfUGwf5DRXaxhBjj3llxGhkeaTRCUMuUWJ4Sf9EJkBLOxX9zJO0AH9toqqH-Y36b9AqsyMvg8xZ1XiVh37HsQBcrVbB-QML9VpEw__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/e44cb64b-877e-4b05-8b6a-6f6a93661545/Copy%20of%20220715_KapoorGalleries_0263-Pano.jpg?Expires=1802811795&Signature=uLcXVLlLxtFY4ED9s4cITKRyte8L2TSPDyjZqquh4jHg7Sl2bTiVxpI5pNNa4gLV6SY85JRIswEeIneWgcHEtCht30HBdeB-pq1e441IlGb1-X7UnI6xtj4cU1wwy1ypp3ihX~yNe1y280Un5443Lr4tkIq22kBe76iS3lrf6ofi4OshSgeTYHXKohFtxCUMos7-7dgnDMo3S3rkpQ6nSTZ6kc72QcmI2FIAO8Xm7c7ZHhOLH7uhDVspGNBcOBsz51sUflE1xLdaUKU3I4u9ZQ1Ill818aiPnSqMLYcH5ynuUu4UnJRQsYc9o4gnsERL4mJG1CU~DYDWu7qgCLh6yw__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/cb5f7e9a-4a23-432d-94dc-9dbe71775fe7/Copy%20of%20220715_KapoorGalleries_0269-Pano.jpg?Expires=1802811795&Signature=LABHeUSafnb6HRq8nzD2o2drA27lAMo9DvhMw8zfI4Q6lNfkJ3yMc~lUlaSB7ahtfd1Ya8EMX4lagKRUHNAUH0GPM~XKY~fIl6hkZ8NNrf3lHpe-vX7xbocxn~3sEVfeQYFf2bwXEe-yoVprhO-qM78UEqcOgOFMKOwOj8NBZRwrvRof8lB37XSh~LgLce0ZZSGqYazfRGnHJJ9t8D9MU8HjKpVUglJHbrZ~e7AwRwHFS1MTWP~540nO5mG3ZDqV7yToAR21fPjrPcr4WO0kdJbMOLkFWyR0yQHErffwgA2lEZ-c6dIUhQZmRNEqD-AuQcKs-CdHJtwTdf7IDh4bZw__&Key-Pair-Id=K2SVGVHI7PEVAH  
