j,Image,Title,Origin,Date,Medium ,Dimensions,Physical Location,File Location,Acquired From,Literature & Exhibited,Provenance,Essay Writtenn( Yes/No),
,,Bharany Ramayana ,"Punjab Hills, Kangra",1775-1780,Opaque Watercolor heightened with gold on paper ,"Folio 97⁄8 x 14 in. (25.1 x 35.6 cm.)
Image 75⁄8 x 115⁄8 in. (19.4 x 29.5 cm.)",,,Christies,https://drive.google.com/drive/u/0/folders/1oh7B_EyCKy0jZ-DFZWx8hD_QNKXjYVE-,"Collection of Dr Alma Latifi, CIE, OBE (1879-1959).
Sotheby’s New York, 5 December 1992, lot 163.
Christie’s New York, 27 September 2023, lot 501.
",,
,,"Draupadi and her five husbands leave after visiting a prince,
Illustration from Bhagavata Purana
Attributed to Manaku
India, Punjab Hills, Basholi, circa 1740 ","Basohli, Punjab Hills, India",Ca 1740,,,," Draupadi and her five husbands leave after visiting a prince, Illustration from Bhagavata Purana",Christies,"D. Wiener, Indian Miniature Painting, New York, 1974, no. 19.
K. Kalista and C. Rochell, Classical Indian Painting, New York, 2015, pp. 68-69.
B.N. Goswami, Manaku of Guler: The Life and Work of Another Great Indian Painter from a Small Hill State, New Delhi, 2017, no. B162, p. 447.       Exhibited:   Doris Wiener Gallery, New York, ""Indian Miniature Painting,"" 16 November - 31 December 1974, no. 19.
Carlton Rochell Asian Art, New York, ""Classical Indian Paintings,"" 13-20 March, 2015, no. 24.","Christie's New York, 20 March 2012, Lot 215.",,
,,Illustration from the Bhagavata Purana: Shishupal and his Retinue,"Punjabi Hills, Garhwal",Ca 1775,"Opaque watercolor heightened with gold on paper
",,,Ilustration from the Bhagavata Purana: Sisupalas and his Retinue ,Consigned in,,"Arthur L. Funk Collection acquired January 2nd, 1970 plus additional publications",,
2022,,"Illustration to the ‘Large’ Guler-Basohli Bhagavata Purana: 
The Liberation of Nalakuvara and Manigriva","Attributed to Manaku, Guler-Basohli",circa 1760-1765,Opaque watercolor heightened with gold on paper,"Image: 9 ⅛ x 13 ¼ in. (23.3 x 33.5 cm.)
Folio: 11 ¼ x 16 in. (28.9 x 41 cm.)
",Gallery 4/28,"38 - Illustration to A Bhagavata Purana: Krishna Uprooting the tree, The Liberation of Nalakuvara and Manigriva",,,"The collection of Brendan Garry (d. 16 September 2011).
The collection of Siva Swaminathan (d. 26 March 2014).",,
,,"An illustration from a Kirata Arjuniya series , circa 1820
Kirata Arjuniya","India, Kangra",Ca 1820,Opaque watercolor heightened with gold on paper,"Sheet: 15 1/2 x 19 7/8 in. (39.4 x 50.5 cm.),      Sight: 13 3/4 x 18 1/2 in. (34.93 x 46.99 cm.),     Frame: 22 1/2 x 27 1/4 in. (57.15 x 69.22 cm.)",,Kiratarjuniya,,,Potomack,,"Acquired from the Doris Weiner Gallery by repute,
Private Virginia collection, thence by descent. The Potomack Company, Virginia, 2 February 2023, lot 501.
"
,,A bronze figure of Jambhala ,"Indonesia, Java",10th Century or later,,41⁄8 in. (10.5 cm.),,Jambhala,Glass Cabinet,,Christies,,"Property from the Collection of Carter Burden; 
Sotheby's New York, 27 March 1991, lot 111.
Christie’s New York, 27 September 2023, lot 594.
"
,,"A Pair of Carved, silvered  and painted horses","India, Kangra",19th Century,"Wood, Silver",33 ½ in. (85.1 cm.) high,,"A pair of carved, silvered and painted horses",With Christies,,Christies,,"Acquired from Matthew Schutz, New York, by Ann and Gordon Getty in 1981.
Christie’s New York, 19th October 2023, lot 256.
"
,,"Hand colored, gelatin Portrait of Maharaja of Jaipur ",,,Hand-Coloured Silver Gelatin Photograph,(47 x 32 cm),NEEDED,,Shelf above Husky,,Davidson,,
,,Hunting Party Miniature ,??,19th Century ,"Gouache, Ink & Gilt on Paper",34 x 25.5 cm,,Hunting Party Miniature,Drawer 13,,Davidson,,
,,A Tibetan Thangka depicting Saddha,,18th/19th Century,Mineral Pigments on cloth,"Framed: 27 1/8 x 39 1/2 in., 69 x 100.5 cm.",,Saddha Thangka,Shelf above husky??,,Hindman,,"Property from the José M. Neistein Collection.
Hindman, Chicago, 28 March 2023, lot 307.
"
