,Image,Title,Origin,Date,Medium,Dimensions,Link,File Location,Acquired By,Provenance,Published and Exhibited,Label Copy
,,Krishna Revels with the Gopis: Page from a Dispersed Gita Govinda (Song of the Cowherds),"India, Madhya Pradesh, Malwa",ca. 1630-40,Opaque watercolor and silver on paper,4 1/2 x 8 in. (11.4 x 20.3 cm),https://www.metmuseum.org/art/collection/search/65584?searchField=All&amp;sortBy=Relevance&amp;ft=%22kapoor+galleries%22&amp;offset=0&amp;rpp=20&amp;pos=1,https://drive.google.com/file/d/1AEeMpxkOU7BA9730CJvSylyz2_oU2KUk/view?usp=sharing,Met,"[ Kapoor Galleries Inc. , New York, by 2003, sold to MMA]","New York. The Metropolitan Museum of Art. ""Krishna: Mythology and Worship,"" February 9, 2004–May 9, 2004.

New York. The Metropolitan Museum of Art. ""Illustrated Manuscripts in India: Late 13th–early 17th Century,"" 2004.

New York. The Metropolitan Museum of Art. ""Krishna: Mythology and Worship,"" March 1, 2008–July 28, 2008.

New York. The Metropolitan Museum of Art. ""Lyrical Visions: Paintings from North India,"" December 3, 2011–May 28, 2012.

New York. The Metropolitan Museum of Art. ""Poetry and Devotion in Indian Painting: A Curatorial Legacy,"" June 15, 2016–December 4, 2016.","A girl with curving hips, bending to whisper in his ear,
Cherishes her kiss on her lover’s tingling cheek.
Hari revels here as the crowd of charming girls
Revels in seducing him to play.
—Gita Govinda, canto 1, verse 41

This illustration faithfully adheres to the text, presenting Krishna (Hari) on the bank of a river surrounded by admiring cow maids (gopis). However, it is the color play of the natural elements, populated with birds and monkeys, that animates the scene. With its wavelike cloud pattern and distinct figure type, this work typifies the early Malwa stylistic vocabulary.

Inscription: Inscribed in text panel above with Gita Govinda, I, v. 41:

A girl with curving hips, bending to whisper in his ear,
Cherishes her kiss on her lover's tingling cheek.
Hari revels here as the crowd of charming girls
Revels in seducing him to play.

Miller trans., 1977, p. 76"
,,Rama and Lakshmana on Mount Pavarasana: Folio from the Shangri Ramayana series (Style II),"Punjab Hills, Kingdom of Jammu (Bahu)",ca. 1690-1710,"Ink, opaque watercolor, and silver on paper",7 x 12 1/8 in. (17.8 x 30.8 cm),https://www.metmuseum.org/art/collection/search/53684?searchField=All&amp;sortBy=Relevance&amp;ft=%22kapoor+galleries%22&amp;offset=0&amp;rpp=20&amp;pos=2,https://drive.google.com/file/d/1AT_fhyrVfTkpEGwAdsYUOQRCmiL6SEGG/view?usp=sharing,Met,"[ Kapoor Galleries Inc. , New York, by 1999, sold to MMA]","New York. The Metropolitan Museum of Art. ""Gods and Demons,"" 2000–2001.

New York. The Metropolitan Museum of Art. ""Paintings in the Punjab Hills,"" 2003.

New York. Asia Society. ""In the Realm of Gods and Kings: Arts of India, Selections from the Polsky Collections and The Metropolitan Museum of Art,"" September 14, 2004–December 10, 2004.

New York. The Metropolitan Museum of Art. ""The Ramayana,"" July 6, 2005–October 9, 2005.

New York. The Metropolitan Museum of Art. ""Epic India: Scenes from the Ramayana,"" March 30, 2010–September 19, 2010.

San Francisco. Asian Art Museum of San Francisco. ""The Rama Epic: Hero, Heroine, Ally, Foe,"" October 21, 2016–January 15, 2017.

New York,. The Metropolitan Museum of Art. ""Sita and Rama: The Ramayana in Indian Painting,"" August 3, 2019–March 7, 2021.","Rama is shown with his brother at the summit of Mount Pavarasana passing a sleepless night after searching in vain for his wife, Sita, who has been abducted by the demon Ravana. Her fate is as yet unknown to Rama,so his fear has not yet turned to anger. The Ramayana emphasizes the vast territory they have covered and the desperate nature of their search, suggested by the featureless expanse leading to the curving horizon, marked by a silver moon.

This painting belongs to the Shangri Ramayana series, which is associated with a number of Punjab court styles, suggesting that it was the product of itinerant artists who worked for a number of patrons in the region. This folio is most closely associated with the atelier at Mandi, known for its simple but compelling compositions.

Inscription: Inscribed in devanagari on verso: 118 kiskindha (numerals in takri)"
,,Krishnanagar Clay Figures (1),"Krishnanagar or Kolkata, West Bengal",ca. 19th century,"Polychrome terracotta, textiles and metal",approx 10 in. (25.5 cm.),https://collections.mingei.org/objects-1/portfolio?records=50&query=mfs%20any%20%22Krishnanagar%22&sort=9,https://drive.google.com/file/d/18a65UGwiKlcaYaZza8kIMDruY-HYCHmK/view?usp=sharing,Mingei International Museum,From a Mid-Western American collection,,
,,2,,,,,,https://drive.google.com/file/d/1jL3U7HDPrwAU4oApYWWFcDbGTGMyFfCn/view?usp=sharing,Mingei International Museum,,,
,,3,,,,,,https://drive.google.com/file/d/1FgM1Dxm0xqwwB8I70stDz4yiA91zv9G8/view?usp=sharing,Mingei International Museum,,,
,,4,,,,,,https://drive.google.com/file/d/1FihPe42kKwJ0OR7ndT5UuNbSswDJ3UIN/view?usp=sharing,Mingei International Museum,,,
,,5,,,,,,https://drive.google.com/file/d/12dJ13WchHuU0fPWaEDRA6lyJHUvhFtF0/view?usp=sharing,Mingei International Museum,,,
,,6,,,,,,https://drive.google.com/file/d/1CCMxY0f-eAj142B9hJ_7tRKaiHjpcepL/view?usp=sharing,Mingei International Museum,,,
,,7,,,,,,https://drive.google.com/file/d/1bbzyZbIChNMnzITui_whqV4lvhSX7p1e/view?usp=sharing,Mingei International Museum,,,
,,8,,,,,,https://drive.google.com/file/d/1CSuWFXM-31C_RXj-WvxdpA3H-IYwx6Md/view?usp=sharing,Mingei International Museum,,,
